getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.96875, h=11.160703125
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=9.75, h=12.4839
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=9.75, h=12.4839
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=14.23125, h=14.480296875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=14.23125, h=14.480296875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.25, h=8.394375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.25, h=8.394375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.25, h=8.394375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=14.23125, h=14.480296875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=14.23125, h=14.480296875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/DejaVuSans, size=11.25, h=14.4045
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=11.25, h=11.446875
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.25, h=8.394375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.25, h=8.394375
